user,method,sessionID,phrase,phraseID,keystroke,TIME,CPM,TER
test,layout_notouch_dial,0,ぷろぐらみんぐ,35,7,0m30.12s,13.944223107569721,0.0,0.0
test,layout_notouch_dial,0,ききかんをもつ,34,7,0m20.10s,20.8955223880597,0.0,0.0
test,layout_notouch_dial,0,じてんしゃのる,58,8,0m26.52s,15.83710407239819,0.125,2.0
test,layout_notouch_dial,0,うるしをぬる,8,6,0m19.55s,18.414322250639383,0.0,2.0
test,layout_notouch_dial,0,ふみんふきゅう,12,7,0m21.16s,19.84877126654064,0.0,2.0
test,layout_notouch_dial,0,あしたあそぼ,27,6,0m16.77s,21.466905187835422,0.0,3.0
test,layout_notouch_dial,0,あきたにいく,22,6,0m16.80s,21.428571428571427,0.0,4.0
test,layout_notouch_dial,0,あしたよていある,51,8,0m22.42s,21.40945584299732,0.0,5.0
test,layout_notouch_dial,0,ていしゅつきげん,11,8,0m26.31s,18.244013683010262,0.0,6.0
test,layout_notouch_dial,0,ひるめしたべた,43,7,0m21.57s,19.471488178025037,0.0,6.0
